X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,lat,long
22897.3241,30977.7551,18069,B04,OPP BLK 71,1.223349595,103.8600743
9402.025302,31066.1848,24461,B01,SMARTY BT OILFIELD,1.101302743,103.8608676
25461.1006,33515.9187,41109,B04,OPP ST. MARGARET'S SEC SCH,1.246535164,103.8828806
34836.3153,35418.5541,71021,B05,OPP COMFORT TEST CTR,1.331320876,103.8999784
12847.0021,36075.0519,22359,B05,BEF BLK 717,1.132457157,103.9058721
43256.3261,38062.1238,97051,B07,OPP CHANGI WOMEN'S PRISON,1.40746759,103.9237352
34594.9832,37651.984,63081,B14,OPP BLK 241,1.329137729,103.920047
33691.5837,40047.4707,64611,B08,BLK 913,1.320966863,103.9415714
12745.3517,36730.3952,27391,B06,BLK 857,1.131537712,103.9117602
27924.9363,45785.4909,59141,B02,BLK 741,1.268812738,103.9931271
32231.99074,32602.57328,80031,B01,KALLANG STN,1.307768849,103.8746749
33467.8655,39216.3483,63381,B13,XINMIN PR SCH,1.318943954,103.9341032
26477.1728,47507.1318,58299,B03,BLK 328,1.255718724,104.0085957
32332.8889,38334.2457,66149,B01,AFT YIO CHU KANG RD,1.30867995,103.9261767
13487.848,44727.9883,33029,B18,AFT NEO TIEW RD,1.138249722,103.9836179
34253.0751,31424.2614,91051,B13,OPP SANTA FE MANS,1.326046973,103.8640874
30560.7802,33968.918,50991,B01,BLK 82,1.292654782,103.8869518
19905.0733,31929.7113,17329,B20,BLK 705,1.196288619,103.8686274
27126.0891,31920.7952,9191,B01,THE REGENT S'PORE,1.261592969,103.8685482
20144.742,40279.54699,44401,NIL,OPP BLK 183,1.198454093,103.9436515
24366.4946,28421.371,15149,B02,PSA BLDG,1.236636395,103.8371047
35317.3094,38813.0874,64301,B04,BLK 325,1.335669791,103.9304804
37927.3103,35509.8413,84479,B16,BLK 713,1.359274695,103.9007995
33263.6503,39654.6753,64489,B03,BLK 946A,1.317096943,103.9380417
18028.4623,37071.4726,43531,B04,BLK 140,1.179316223,103.9148261
17478.0687,40311.242,44501,B05,BLK 426,1.174337651,103.9439354
31697.103,38799.9745,66251,B01,OPP KINGSWEAR AVE,1.302929975,103.9303613
14050.2637,34733.3984,21331,B10,OPP PREMIER MILK PTE LTD,1.143339317,103.8938177
17938.86201,34014.049,20061,B02,AFT JURONG TOWN HALL RD,1.178506582,103.887355
37567.6555,32559.9962,93059,B12,AFT JLN BUROH PERINDU,1.356022705,103.8742931
36359.2289,41013.8515,67521,B05,BLK 160,1.345091654,103.9502559
39890.1749,37108.3243,76119,B05,OPP BLK 945,1.377025677,103.9151635
37278.40844,32088.55366,92219,NIL,OPP CHIJ KATONG CONVENT,1.353406926,103.8700569
33323.9269,33945.525,70011,B07,OPP BLK 125,1.317643701,103.8867422
30454.8249,35601.8757,52439,B03,OPP BLK 5,1.291696206,103.9016246
25547.7491,29821.1527,10119,B14,OPP PACIFIC TECH CTR,1.247319201,103.8496821
16613.7853,36196.991,28351,B17,OPP BLK 350,1.166522601,103.9069685
29780.6421,36705.1529,53229,B04,BLK 501,1.285598852,103.9115378
35058.9558,30937.8407,91101,B03,TG KATONG FLYOVER,1.333335122,103.8597167
16482.28811,47421.34354,49209,B01,SG BULOH WETLAND RESERVE,1.165328917,104.0078191
34592.9901,40969.1229,67331,B05,BLK 200B,1.32911847,103.9498533
6295.767202,36218.944,25411,B01,AFT TUAS TER,1.073210026,103.9071635
33185.02413,32492.56484,80251,B01,ASSN BLDG,1.316387761,103.8736866
33200.5324,32146.519,80141,B04,OPP MOUNTBATTEN VOC SCH,1.316528061,103.8705772
30002.6222,36384.1207,53409,B03,BLK 131,1.287606447,103.9086533
26433.3578,48330.6654,58121,B07,BLK 424A CP,1.255321968,104.0159953
27402.9135,38551.1365,53091,B15,BEF ANG MO KIO AVE 1,1.264094971,103.9281239
24606.3519,49467.0729,47121,B03,OPP LIAN AIK SIONG MACHINERY,1.23879852,104.026205
39862.6514,39771.9284,77249,B18,BLK 640,1.376775817,103.9390979
41172.4301,38933.6927,77369,B05,OPP BLK 555,1.388621293,103.9315662
19293.962,32754.2854,20289,B24,THE JAPANESE SEC SCH,1.190761835,103.8760362
43200.9523,38386.8449,97119,B42,AFT TOH CL,1.406966695,103.9266531
30148.8604,33918.1419,50211,NIL,OPP BALESTIER PT,1.288929536,103.8864955
24124.23988,28521.20965,15159,B04,MAPLETREE BUSINESS CITY,1.234445526,103.8380018
19414.1684,37033.6438,43439,B05,BLK 242,1.19184807,103.9144866
34199.556,37879.8758,63269,B06,BLK 232,1.325561556,103.9220946
